Year,Party,Votes,Percentage,Total_Votes
2009,ANC,11650748,65.895,17680729
2009,DA,2945829,16.661,17680729
2009,COPE,1311027,7.415,17680729
2009,IFP,804260,4.549,17680729
2009,Others,968865,5.48,17680729
2014,ANC,11436921,62.149,18402497
2014,DA,4091584,22.234,18402497
2014,EFF,1169259,6.354,18402497
2014,IFP,441854,2.401,18402497
2014,COPE,123235,0.67,18402497
2014,Others,1139644,6.192,18402497
2019,ANC,10026475,57.5,17437379
2019,DA,3622531,20.775,17437379
2019,EFF,1882480,10.796,17437379
2019,IFP,588839,3.377,17437379
2019,Others,1317054,7.552,17437379
2024,ANC,6459284,40.176,16077342
2024,DA,3506855,21.812,16077342
2024,M.K.,2344291,14.581,16077342
2024,EFF,1529914,9.516,16077342
2024,IFP,618208,3.845,16077342
2024,Others,1618790,10.07,16077342
